ssrA	srrB	ncd	slA	sCA	slB	sCB	slAB	sCAB	
DRR015822	DRR015824	0.7553191489361702	468	376	467	372	935	656	
DRR015822	ERR1945610	0.8028169014084507	468	376	510	426	978	718	
DRR015822	ERR2503944	0.7894736842105263	468	376	495	418	963	706	
DRR015822	ERR2710624	0.812206572769953	468	376	518	426	986	722	
DRR015822	ERR2710630	0.8202764976958525	468	376	520	434	988	732	
DRR015822	ERR374736	0.7979274611398963	468	376	475	386	943	684	
DRR015822	SRR7789312	0.8066037735849056	468	376	512	424	980	718	
DRR015822	SRR7820184	0.8133971291866029	468	376	512	418	980	716	
DRR015824	ERR1945610	0.7934272300469484	467	372	510	426	977	710	
DRR015824	ERR2503944	0.7942583732057417	467	372	495	418	962	704	
DRR015824	ERR2710624	0.812206572769953	467	372	518	426	985	718	
DRR015824	ERR2710630	0.815668202764977	467	372	520	434	987	726	
DRR015824	ERR374736	0.8031088082901554	467	372	475	386	942	682	
DRR015824	SRR7789312	0.8160377358490566	467	372	512	424	979	718	
DRR015824	SRR7820184	0.8133971291866029	467	372	512	418	979	712	
ERR1945610	ERR2503944	0.755868544600939	510	426	495	418	1005	740	
ERR1945610	ERR2710624	0.7746478873239436	510	426	518	426	1028	756	
ERR1945610	ERR2710630	0.7603686635944701	510	426	520	434	1030	756	
ERR1945610	ERR374736	0.7793427230046949	510	426	475	386	985	718	
ERR1945610	SRR7789312	0.7981220657276995	510	426	512	424	1022	764	
ERR1945610	SRR7820184	0.8215962441314554	510	426	512	418	1022	768	
ERR2503944	ERR2710624	0.7652582159624414	495	418	518	426	1013	744	
ERR2503944	ERR2710630	0.7557603686635944	495	418	520	434	1015	746	
ERR2503944	ERR374736	0.8038277511961722	495	418	475	386	970	722	
ERR2503944	SRR7789312	0.8113207547169812	495	418	512	424	1007	762	
ERR2503944	SRR7820184	0.8277511961722488	495	418	512	418	1007	764	
ERR2710624	ERR2710630	0.728110599078341	518	426	520	434	1038	742	
ERR2710624	ERR374736	0.784037558685446	518	426	475	386	993	720	
ERR2710624	SRR7789312	0.8169014084507042	518	426	512	424	1030	772	
ERR2710624	SRR7820184	0.8169014084507042	518	426	512	418	1030	766	
ERR2710630	ERR374736	0.8018433179723502	520	434	475	386	995	734	
ERR2710630	SRR7789312	0.8018433179723502	520	434	512	424	1032	772	
ERR2710630	SRR7820184	0.815668202764977	520	434	512	418	1032	772	
ERR374736	SRR7789312	0.8207547169811321	475	386	512	424	987	734	
ERR374736	SRR7820184	0.8133971291866029	475	386	512	418	987	726	
SRR7789312	SRR7820184	0.7971698113207547	512	424	512	418	1024	756	
