ssrA	srrB	ncd	slA	sCA	slB	sCB	slAB	sCAB	
DRR015822	DRR015824	0.8766346087317511	100000	43359	100000	43161	200000	81171	
DRR015822	ERR1945610	0.8750777309472811	100000	43359	100000	43419	200000	81354	
DRR015822	ERR2503944	0.8755967619179409	100000	43359	100000	43293	200000	81258	
DRR015822	ERR2710624	0.8744897253165432	100000	43359	100000	43323	200000	81240	
DRR015822	ERR2710630	0.8754583823427662	100000	43359	100000	43161	200000	81120	
DRR015822	ERR374736	0.8733826887151457	100000	43359	100000	43062	200000	80931	
DRR015822	SRR7789312	0.8722064623261606	100000	43359	100000	43314	200000	81132	
DRR015822	SRR7820184	0.8722064623261606	100000	43359	100000	43149	200000	80967	
DRR015824	ERR1945610	0.8718993988806744	100000	43161	100000	43419	200000	81018	
DRR015824	ERR2503944	0.8720116416048784	100000	43161	100000	43293	200000	80913	
DRR015824	ERR2710624	0.8714077972439582	100000	43161	100000	43323	200000	80913	
DRR015824	ERR2710630	0.867936331410301	100000	43161	100000	43161	200000	80622	
DRR015824	ERR374736	0.8737749357058455	100000	43161	100000	43062	200000	80775	
DRR015824	SRR7789312	0.8749134229117607	100000	43161	100000	43314	200000	81057	
DRR015824	SRR7820184	0.8737749357058455	100000	43161	100000	43149	200000	80862	
ERR1945610	ERR2503944	0.8724521522835625	100000	43419	100000	43293	200000	81174	
ERR1945610	ERR2710624	0.870310232847371	100000	43419	100000	43323	200000	81111	
ERR1945610	ERR2710630	0.8723139639328404	100000	43419	100000	43161	200000	81036	
ERR1945610	ERR374736	0.874524977544393	100000	43419	100000	43062	200000	81033	
ERR1945610	SRR7789312	0.8750086367719201	100000	43419	100000	43314	200000	81306	
ERR1945610	SRR7820184	0.8750777309472811	100000	43419	100000	43149	200000	81144	
ERR2503944	ERR2710624	0.8712693026798698	100000	43293	100000	43323	200000	81039	
ERR2503944	ERR2710630	0.8733282516804102	100000	43293	100000	43161	200000	80970	
ERR2503944	ERR374736	0.8745755664888089	100000	43293	100000	43062	200000	80925	
ERR2503944	SRR7789312	0.8751904695941266	100000	43293	100000	43314	200000	81201	
ERR2503944	SRR7820184	0.8756842907629409	100000	43293	100000	43149	200000	81060	
ERR2710624	ERR2710630	0.8714077972439582	100000	43323	100000	43161	200000	80913	
ERR2710624	ERR374736	0.8728619901668859	100000	43323	100000	43062	200000	80877	
ERR2710624	SRR7789312	0.8741084412436811	100000	43323	100000	43314	200000	81183	
ERR2710624	SRR7820184	0.8745239249359462	100000	43323	100000	43149	200000	81036	
ERR2710630	ERR374736	0.8741224716758185	100000	43161	100000	43062	200000	80790	
ERR2710630	SRR7789312	0.8752597312647181	100000	43161	100000	43314	200000	81072	
ERR2710630	SRR7820184	0.8751650795857371	100000	43161	100000	43149	200000	80922	
ERR374736	SRR7789312	0.8726970494528328	100000	43062	100000	43314	200000	80862	
ERR374736	SRR7820184	0.8720711951609539	100000	43062	100000	43149	200000	80691	
SRR7789312	SRR7820184	0.8726970494528328	100000	43314	100000	43149	200000	80949	
