target_acc	min_dist_same	min_dist_opp	PDS_acc
PDT000027382.1			
PDT000027434.1			
PDT000027435.1			
PDT000027436.1	0	2	PDS000000403.1
PDT000027319.1	2	8	PDS000000572.1
PDT000027320.1			
PDT000027321.1			
PDT000027322.1			
PDT000027323.1	3		PDS000000578.1
PDT000027324.1			
PDT000027325.1	0		PDS000000621.1
PDT000027326.1	0		PDS000000621.1
PDT000027327.1			
PDT000027328.1	1		PDS000000610.1
PDT000027329.1	1		PDS000000610.1
PDT000027330.1	1		PDS000000610.1
PDT000027331.1			
PDT000027332.1			
PDT000027333.1			
PDT000027334.1			
PDT000027335.1			
PDT000027336.1			
PDT000027337.1			
PDT000027338.1	4		PDS000000578.1
PDT000027339.1	3		PDS000000578.1
PDT000027340.1	2	10	PDS000000572.1
PDT000027341.1			
PDT000027342.1			
PDT000027343.1	0		PDS000000569.1
PDT000027344.1			
PDT000027345.1	0		PDS000000569.1
PDT000027346.1	0		PDS000000621.1
PDT000027347.1	0		PDS000000569.1
PDT000027348.1	25	15	PDS000000130.2
PDT000027349.1	0		PDS000000569.1
PDT000027350.1	0		PDS000000569.1
PDT000027351.1	2		PDS000000563.1
PDT000027352.1			
PDT000027353.1			
PDT000027354.1			
PDT000027355.1			
PDT000027356.1			
PDT000027357.1	0		PDS000000569.1
PDT000027358.1	5		PDS000000569.1
PDT000027359.1			
PDT000027360.1			
PDT000027361.1	1		PDS000000569.1
PDT000027362.1			
PDT000027363.1			
PDT000027364.1			
PDT000027365.1			
PDT000027366.1			
PDT000027367.1			
PDT000027368.1	2		PDS000000563.1
PDT000027369.1			
PDT000027370.1			
PDT000027371.1			
PDT000027372.1			
PDT000027373.1			
PDT000027374.1	2		PDS000000569.1
PDT000027375.1			
PDT000027376.1			
PDT000027377.1			
PDT000027383.1			
PDT000027384.1			
PDT000027385.1			
PDT000027386.1			
PDT000027387.1			
PDT000027388.1			
PDT000027389.1			
PDT000027390.1			
PDT000027391.1			
PDT000027392.1			
PDT000027393.1			
PDT000027394.1			
PDT000027395.1			
PDT000027396.1			
PDT000027378.1			
PDT000027397.1			
PDT000027398.1			
PDT000027399.1			
PDT000027400.1			
PDT000027401.1			
PDT000027402.1			
PDT000027403.1			
PDT000027404.1			
PDT000027405.1			
PDT000027406.1			
PDT000027407.1			
PDT000027379.1			
PDT000027380.1			
PDT000027408.1			
PDT000027409.1			
PDT000027410.1			
PDT000027411.1			
PDT000027412.1			
PDT000027413.1			
PDT000027414.1			
PDT000027415.1			
PDT000027416.1			
PDT000027417.1			
PDT000027381.1			
PDT000027418.1			
PDT000027419.1			
PDT000027420.1			
PDT000027421.1			
PDT000027422.1			
PDT000027423.1			
PDT000027424.1			
PDT000027425.1			
PDT000027426.1			
PDT000027427.1			
PDT000027428.1			
PDT000027429.1			
PDT000027430.1			
PDT000027431.1			
PDT000027432.1			
PDT000027433.1			
PDT000000003.1			
PDT000000005.1		0	PDS000000558.1
PDT000000004.1		0	PDS000000557.1
PDT000000017.1	3	3	PDS000000558.1
PDT000000026.1	7	7	PDS000000558.1
PDT000000027.1	2	2	PDS000000558.1
PDT000000018.1	3	4	PDS000000558.1
PDT000000019.1	6	6	PDS000000558.1
PDT000000020.1	2	2	PDS000000558.1
PDT000000021.1	4	4	PDS000000558.1
PDT000000022.1	1	0	PDS000000558.1
PDT000000023.1	7	7	PDS000000558.1
