string_field_0,string_field_1,string_field_2,string_field_3
PDS_acc,target_acc,biosample_acc,gencoll_acc
PDS000000116.2,PDT000024359.1,SAMN04266627,GCA_001542895.1
PDS000000116.2,PDT000024381.1,SAMN04270932,GCA_001545555.1
PDS000000116.2,PDT000024391.1,SAMN04270938,GCA_001545775.1
PDS000000116.2,PDT000024497.1,SAMN06019998,GCA_001886635.1
PDS000000116.2,PDT000024538.1,SAMN06019999,GCA_001953395.1
PDS000000116.2,PDT000024539.1,SAMN06020000,GCA_001953435.1
PDS000000116.2,PDT000024540.1,SAMN06020001,GCA_001953445.1
PDS000000116.2,PDT000024542.1,SAMN06020034,GCA_001953465.1
PDS000000116.2,PDT000025244.1,SAMN05441353,GCA_003202445.1
PDS000000116.2,PDT000025624.1,SAMEA4885631,GCA_900639535.1
PDS000000116.2,PDT000025627.1,SAMEA4885624,GCA_900639565.1
PDS000000116.2,PDT000025637.1,SAMEA4885787,GCA_900639715.1
PDS000000116.2,PDT000025651.1,SAMEA4885211,GCA_900639465.1
PDS000000116.2,PDT000025654.1,SAMEA4885156,GCA_900639505.1
PDS000000116.2,PDT000026159.1,SAMN11980309,GCA_006375645.1
PDS000000116.2,PDT000026174.1,SAMN11980292,GCA_006375945.1
PDS000000110.2,PDT000024456.1,SAMEA3935364,GCA_900080105.1
PDS000000110.2,PDT000024461.1,SAMEA3935368,GCA_900080015.1
PDS000000110.2,PDT000024901.1,SAMN06111318,GCA_002631645.1
PDS000000110.2,PDT000024904.1,SAMN06111321,GCA_002631705.1
PDS000000110.2,PDT000025165.1,SAMN08628409,GCA_003020745.1
PDS000000110.2,PDT000025435.1,SAMN10344756,GCA_003719355.1
PDS000000110.2,PDT000025628.1,SAMEA4885529,GCA_900639575.1
PDS000000560.1,PDT000025864.1,SAMN10935273,GCA_004302885.1
PDS000000560.1,PDT000026169.1,SAMN11980297,GCA_006375855.1
PDS000000111.2,PDT000024579.1,SAMEA4067785,GCA_900092475.1
PDS000000111.2,PDT000025164.1,SAMN08628410,GCA_003020725.1
PDS000000243.1,PDT000024574.1,SAMN06472830,GCA_002025045.1
PDS000000243.1,PDT000024935.1,SAMN08196785,GCA_002858965.1
PDS000000243.1,PDT000024936.1,SAMN08196784,GCA_002858985.1
PDS000000243.1,PDT000024937.1,SAMN08196782,GCA_002859005.1
PDS000000243.1,PDT000024938.1,SAMN08196781,GCA_002859025.1
PDS000000243.1,PDT000025168.1,SAMEA104656293,GCA_900302715.1
PDS000000243.1,PDT000025169.1,SAMEA104656294,GCA_900302735.1
PDS000000243.1,PDT000025170.1,SAMEA104656295,GCA_900302765.1
PDS000000243.1,PDT000025171.1,SAMEA104656296,GCA_900302725.1
PDS000000243.1,PDT000025172.1,SAMEA104656297,GCA_900302775.1
PDS000000243.1,PDT000025173.1,SAMEA104656298,GCA_900302785.1
PDS000000243.1,PDT000025174.1,SAMEA104656299,GCA_900302795.1
PDS000000243.1,PDT000025175.1,SAMEA104656300,GCA_900302815.1
PDS000000243.1,PDT000025176.1,SAMEA104656301,GCA_900302825.1
PDS000000243.1,PDT000025177.1,SAMEA104656302,GCA_900302805.1
PDS000000243.1,PDT000025178.1,SAMEA104656303,GCA_900302855.1
PDS000000243.1,PDT000025179.1,SAMEA104656304,GCA_900302845.1
PDS000000243.1,PDT000025180.1,SAMEA104656305,GCA_900302835.1
PDS000000243.1,PDT000025181.1,SAMEA104656306,GCA_900302885.1
PDS000000243.1,PDT000025182.1,SAMEA104656307,GCA_900302875.1
PDS000000243.1,PDT000025183.1,SAMEA104656308,GCA_900302865.1
PDS000000243.1,PDT000025184.1,SAMEA104656309,GCA_900302895.1
PDS000000243.1,PDT000025185.1,SAMEA104656310,GCA_900302915.1
PDS000000243.1,PDT000025186.1,SAMEA104656311,GCA_900302925.1
PDS000000243.1,PDT000025187.1,SAMEA104656312,GCA_900302905.1
PDS000000243.1,PDT000025188.1,SAMEA104656313,GCA_900302935.1
PDS000000243.1,PDT000025189.1,SAMEA104656314,GCA_900302945.1
PDS000000243.1,PDT000025190.1,SAMEA104656315,GCA_900303295.1
PDS000000243.1,PDT000025191.1,SAMEA104656316,GCA_900302955.1
PDS000000243.1,PDT000025192.1,SAMEA104656317,GCA_900302985.1
PDS000000243.1,PDT000025193.1,SAMEA104656318,GCA_900302975.1
PDS000000243.1,PDT000025194.1,SAMEA104656319,GCA_900302965.1
PDS000000243.1,PDT000025195.1,SAMEA104656320,GCA_900303025.1
PDS000000243.1,PDT000025196.1,SAMEA104656321,GCA_900302995.1
PDS000000243.1,PDT000025197.1,SAMEA104656322,GCA_900303005.1
PDS000000243.1,PDT000025198.1,SAMEA104656323,GCA_900303015.1
PDS000000243.1,PDT000025199.1,SAMEA104656324,GCA_900303035.1
PDS000000243.1,PDT000025200.1,SAMEA104656325,GCA_900303055.1
PDS000000243.1,PDT000025201.1,SAMEA104656326,GCA_900303045.1
PDS000000243.1,PDT000025202.1,SAMEA104656327,GCA_900303065.1
PDS000000243.1,PDT000025203.1,SAMEA104656328,GCA_900303095.1
PDS000000243.1,PDT000025204.1,SAMEA104656329,GCA_900303085.1
PDS000000243.1,PDT000025205.1,SAMEA104656330,GCA_900303075.1
PDS000000243.1,PDT000025206.1,SAMEA104656331,GCA_900303105.1
PDS000000243.1,PDT000025207.1,SAMEA104656332,GCA_900303115.1
PDS000000243.1,PDT000025208.1,SAMEA104656333,GCA_900303145.1
PDS000000243.1,PDT000025209.1,SAMEA104656334,GCA_900303125.1
PDS000000243.1,PDT000025210.1,SAMEA104656335,GCA_900303135.1
PDS000000243.1,PDT000025212.1,SAMEA104656337,GCA_900303175.1
PDS000000243.1,PDT000025213.1,SAMEA104656338,GCA_900303165.1
PDS000000243.1,PDT000025214.1,SAMEA104656339,GCA_900303185.1
PDS000000243.1,PDT000025215.1,SAMEA104656340,GCA_900303195.1
PDS000000243.1,PDT000025233.1,SAMEA1089240,GCA_900332125.2
PDS000000104.2,PDT000024621.1,SAMEA3893571,GCA_900178555.1
PDS000000104.2,PDT000024622.1,SAMEA3893870,GCA_900178745.1
PDS000000104.2,PDT000024632.1,SAMEA3893919,GCA_900178845.1
PDS000000104.2,PDT000024635.1,SAMEA3893652,GCA_900179295.1
PDS000000104.2,PDT000024636.1,SAMEA3893552,GCA_900178815.1
PDS000000104.2,PDT000024647.1,SAMEA3893623,GCA_900179085.1
PDS000000104.2,PDT000024648.1,SAMEA3893570,GCA_900178915.1
PDS000000104.2,PDT000024649.1,SAMEA3893582,GCA_900178935.1
PDS000000104.2,PDT000024678.1,SAMEA3893574,GCA_900178755.1
PDS000000104.2,PDT000024679.1,SAMEA3893498,GCA_900179785.1
PDS000000104.2,PDT000024680.1,SAMEA3894139,GCA_900180175.1
PDS000000104.2,PDT000024684.1,SAMEA3893580,GCA_900178725.1
PDS000000104.2,PDT000024692.1,SAMEA3893563,GCA_900178855.1
